STATION,County,NAME,LATITUDE,LONGITUDE,LatLong,,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
USW00054790,Suffolk,"SHIRLEY BROOKHAVEN AIRPORT, NY US",40.82167,-72.86889,"(40.82167, -72.86889)",,25,2018,1001,0,13,138,8,
USC00301309,Suffolk,"CENTERPORT, NY US",40.8838,-73.3722,"(40.8838, -73.3722)",,9.1,2018,,0,,,,
US1NYSF0063,Suffolk,"LAKE GROVE 1.2 SSW, NY US",40.8408,-73.1225,"(40.8408, -73.1225)",,,,,,,,,
USC00308721,Suffolk,"UPTON COOP NWSFO NEW YORK, NY US",40.8656,-72.8643,"(40.8656, -72.8643)",,834,,,2,17,133,3,5665
US1NYSV0008,Sullivan,"WURTSBORO 0.2 SSW, NY US",41.5739,-74.4871,"(41.5739, -74.4871)",,163.7,2018,,,,,,
USC00301102,Sullivan,"CALLICOON CENTER, NY US",41.8275,-74.9506,"(41.8275, -74.9506)",,372.2,2018,497,15,54,127,4,7534
USC00301168,Tioga,"CANDOR 2 SE, NY US",42.1944,-76.3127,"(42.1944, -76.3127)",,280.4,2018,,,,,,
US1NYTG0015,Tioga,"BERKSHIRE 1.9 ENE, NY US",42.3191,-76.2194,"(42.3191, -76.2194)",,470.9,2018,,,,,,
Tompkins,,,,,,,,,,14,56.5,130.5,7,
US1NYTM0023,Tompkins,"FREEVILLE 3.7 W, NY US",42.5021,-76.418,"(42.5021, -76.418)",,352,2018,,,,,,
US1NYTM0004,Tompkins,"GROTON 0.5 NW, NY US",42.5913,-76.372,"(42.5913, -76.372)",,315.2,2018,,,,,,
